CT projecting neuron	CL:4023013
Caenorhabditis hypodermal cell	CL:0000411
Cajal-Retzius cell	CL:0000695
Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell	CL:0002454
Chandelier PV	CL:4023036
Clara cell	CL:0000158
Claudius cell	CL:0000634
D cell	CL:0000502
D-cell of pancreatic islet	CL:0000173
D1-MSN	CL:4023026
D1/D2-hybrid medium spiny neuron	CL:4030050
D2-MSN	CL:4023029
DAPI-3 amacrine cell	CL:0004233
DB1 cone bipolar cell	CL:0000753
DB2 cone bipolar cell	CL:0000755
DB3 cone bipolar cell	CL:0000756
DB4 cone bipolar cell	CL:0000757
DB5 cone bipolar cell	CL:0000758
DB6 cone bipolar cell	CL:0000760
DC.103+11b-.Lv	CL:0002506
DC.103-11b+.Lv	CL:0002505
DC.11cloSer.SI	CL:0002466
DC.4+	CL:0000999
DC.8+	CL:0001000
DC.8+.Th	CL:0002059
DC.8-.Th	CL:0002460
DC.8-4-11b+	CL:0002454
DC.8-4-11b-	CL:0000998
DC.SIRPa+.Ad	CL:0002463
